timestamp_s,x,y,yaw_rad,speed_mps,steering_angle_rad,cross_track_error_m
1774710515.363968,0.0000,0.0000,0.000000,0.0000,0.000000,0.0000
1774710515.655588,0.0035,0.0000,0.000588,0.0000,0.000000,0.0000
1774710515.663552,0.0042,0.0000,0.000623,0.0416,-0.060982,0.1627
1774710515.667658,0.0042,0.0000,0.000623,0.0237,0.043107,0.1627
1774710515.672067,0.0050,0.0000,0.000659,0.0932,0.092532,0.1619
1774710515.675549,0.0050,0.0000,0.000659,0.1270,0.176900,0.1619
1774710515.679553,0.0050,0.0000,0.000659,0.1852,0.010463,0.1619
1774710515.683545,0.0059,0.0000,0.000616,0.1903,-0.327980,0.1611
1774710515.687560,0.0059,0.0000,0.000616,0.2158,0.023504,0.1611
1774710515.692162,0.0069,0.0000,0.000569,0.1854,-0.027562,0.1601
1774710515.695552,0.0069,0.0000,0.000569,0.3685,-0.220338,0.1601
1774710515.699562,0.0069,0.0000,0.000569,0.2526,-0.248614,0.1601
1774710515.703554,0.0080,0.0000,0.000516,0.5062,-0.142803,0.1590
1774710515.707553,0.0080,0.0000,0.000516,0.5062,-0.142803,0.1590
1774710515.712238,0.0091,0.0000,0.000346,0.5062,-0.142803,0.1578
1774710515.715560,0.0091,0.0000,0.000346,0.5062,-0.142803,0.1578
1774710515.719558,0.0091,0.0000,0.000346,0.5062,-0.142803,0.1578
1774710515.723555,0.0104,0.0000,0.000031,0.5062,-0.142803,0.1566
1774710515.727583,0.0104,0.0000,0.000031,0.5062,-0.142803,0.1566
1774710515.732083,0.0119,0.0000,-0.000471,0.4166,-0.130484,0.1551
1774710515.735681,0.0119,0.0000,-0.000471,0.4166,-0.130484,0.1551
1774710515.739535,0.0119,0.0000,-0.000471,0.4166,-0.130484,0.1551
1774710515.743681,0.0135,0.0000,-0.001183,0.4166,-0.130484,0.1535
1774710515.747547,0.0135,0.0000,-0.001183,0.4166,-0.130484,0.1535
1774710515.752032,0.0152,0.0000,-0.001946,0.3879,0.265333,0.1518
1774710515.755682,0.0152,0.0000,-0.001946,0.3879,0.265333,0.1518
1774710515.759685,0.0152,0.0000,-0.001946,0.3879,0.265333,0.1518
1774710515.763526,0.0171,-0.0000,-0.002758,0.3879,0.265333,0.1499
1774710515.767537,0.0171,-0.0000,-0.002758,0.3879,0.265333,0.1499
1774710515.772068,0.0190,-0.0000,-0.003611,0.4353,0.071402,0.1480
1774710515.775492,0.0190,-0.0000,-0.003611,0.4353,0.071402,0.1480
1774710515.779778,0.0190,-0.0000,-0.003611,0.4353,0.071402,0.1480
1774710515.783686,0.0211,-0.0000,-0.004308,0.4353,0.071402,0.1460
1774710515.787530,0.0211,-0.0000,-0.004308,0.4353,0.071402,0.1460
1774710515.792041,0.0232,-0.0000,-0.004831,0.3991,-0.041488,0.1438
1774710515.795686,0.0232,-0.0000,-0.004831,0.3991,-0.041488,0.1438
1774710515.799776,0.0232,-0.0000,-0.004831,0.3991,-0.041488,0.1438
1774710515.803683,0.0255,-0.0000,-0.005158,0.3991,-0.041488,0.1416
1774710515.807548,0.0255,-0.0000,-0.005158,0.3991,-0.041488,0.1416
1774710515.811987,0.0278,-0.0001,-0.005271,0.5206,-0.061405,0.1393
1774710515.815685,0.0278,-0.0001,-0.005271,0.5206,-0.061405,0.1393
1774710515.819546,0.0278,-0.0001,-0.005271,0.5206,-0.061405,0.1393
1774710515.823667,0.0303,-0.0001,-0.005390,0.5206,-0.061405,0.1368
1774710515.827688,0.0303,-0.0001,-0.005390,0.5206,-0.061405,0.1368
1774710515.832148,0.0328,-0.0001,-0.005766,0.5206,-0.061405,0.1343
1774710515.835482,0.0328,-0.0001,-0.005766,0.5347,0.161223,0.1343
1774710515.839710,0.0328,-0.0001,-0.005766,0.5347,0.161223,0.1343
1774710515.843577,0.0355,-0.0001,-0.006158,0.5347,0.161223,0.1316
1774710515.847568,0.0355,-0.0001,-0.006158,0.5347,0.161223,0.1316
1774710515.852491,0.0384,-0.0001,-0.006571,0.5347,0.161223,0.1288
1774710515.855580,0.0384,-0.0001,-0.006571,0.6088,0.182549,0.1288
1774710515.859695,0.0384,-0.0001,-0.006571,0.6088,0.182549,0.1288
1774710515.863541,0.0413,-0.0001,-0.007001,0.6088,0.182549,0.1259
1774710515.867595,0.0413,-0.0001,-0.007001,0.6088,0.182549,0.3643
1774710515.872181,0.0445,-0.0002,-0.007151,0.6088,0.182549,0.3612
1774710515.875575,0.0445,-0.0002,-0.007151,0.5380,0.052381,0.3612
1774710515.879611,0.0445,-0.0002,-0.007151,0.5380,0.052381,0.3612
1774710515.883671,0.0477,-0.0002,-0.006993,0.5380,0.052381,0.3580
1774710515.887615,0.0477,-0.0002,-0.006993,0.5380,0.052381,0.3580
1774710515.892294,0.0510,-0.0002,-0.006506,0.6585,0.155857,0.3547
1774710515.895654,0.0510,-0.0002,-0.006506,0.6585,0.155857,0.3547
1774710515.899618,0.0510,-0.0002,-0.006506,0.6585,0.155857,0.3547
1774710515.903659,0.0545,-0.0002,-0.006003,0.6585,0.155857,0.3512
1774710515.907608,0.0545,-0.0002,-0.006003,0.6585,0.155857,0.3512
1774710515.912233,0.0581,-0.0002,-0.005476,0.7391,0.169608,0.3476
1774710515.915685,0.0581,-0.0002,-0.005476,0.7391,0.169608,0.3476
1774710515.919531,0.0581,-0.0002,-0.005476,0.7391,0.169608,0.3476
1774710515.923571,0.0619,-0.0003,-0.004558,0.7391,0.169608,0.3439
1774710515.927589,0.0619,-0.0003,-0.004558,0.7391,0.169608,0.3439
1774710515.932249,0.0658,-0.0003,-0.003212,0.7391,0.169608,0.3400
1774710515.935518,0.0658,-0.0003,-0.003212,0.7686,-0.106179,0.3400
1774710515.939597,0.0658,-0.0003,-0.003212,0.7686,-0.106179,0.3400
1774710515.943512,0.0700,-0.0003,-0.001402,0.7686,-0.106179,0.3359
1774710515.947559,0.0700,-0.0003,-0.001402,0.7686,-0.106179,0.3359
1774710515.952176,0.0742,-0.0003,0.000909,0.7686,-0.106179,0.3316
1774710515.955656,0.0742,-0.0003,0.000909,0.6872,-0.091368,0.3316
1774710515.959577,0.0742,-0.0003,0.000909,0.6872,-0.091368,0.3316
1774710515.963546,0.0787,-0.0003,0.003294,0.6872,-0.091368,0.3272
1774710515.967687,0.0787,-0.0003,0.003294,0.6872,-0.091368,0.3272
1774710515.972152,0.0832,-0.0003,0.005290,0.8083,0.484570,0.3227
1774710515.975617,0.0832,-0.0003,0.005290,0.8083,0.484570,0.3227
1774710515.979579,0.0832,-0.0003,0.005290,0.8083,0.484570,0.3227
1774710515.983535,0.0879,-0.0002,0.006885,0.8083,0.484570,0.3181
1774710515.987582,0.0879,-0.0002,0.006885,0.8083,0.484570,0.3181
1774710515.992215,0.0928,-0.0002,0.008060,0.6883,0.055812,0.3133
1774710515.995669,0.0928,-0.0002,0.008060,0.6883,0.055812,0.3133
1774710515.999596,0.0928,-0.0002,0.008060,0.6883,0.055812,0.3133
